Active Std,Idle Min,Subflow Fwd Packets,Fwd IAT Total,Avg Bwd Segment Size,Fwd PSH Flags,Active Min,Fwd Packet Length Mean,min_seg_size_forward,Bwd Packet Length Max,Idle Max,Flow IAT Std,Bwd Packet Length Std,Subflow Bwd Packets,Flow IAT Mean,Fwd Packet Length Std,Down/Up Ratio,Idle Mean,Bwd IAT Std,Bwd IAT Max,Fwd Header Length,Total Length of Fwd Packets,Max Packet Length,Bwd Packet Length Min,Idle Std,ACK Flag Count,Bwd Packets/s,Packet Length Std,Total Fwd Packets,Fwd IAT Std,Fwd IAT Max,Bwd IAT Min,Packet Length Variance,Average Packet Size,Avg Fwd Segment Size,act_data_pkt_fwd,Active Max,Min Packet Length,Active Mean,Fwd Packet Length Min,Fwd Packets/s,Flow Duration,Fwd IAT Min,Subflow Fwd Bytes,Packet Length Mean,Fwd Header Length.1,Total Backward Packets,Bwd Packet Length Mean,Flow IAT Max,URG Flag Count,Flow IAT Min,Fwd IAT Mean,Bwd IAT Total,Init_Win_bytes_backward,SYN Flag Count,Bwd IAT Mean,Init_Win_bytes_forward,PSH Flag Count,Flow Packets/s,Bwd Header Length,Subflow Bwd Bytes,Total Length of Bwd Packets,Fwd Packet Length Max,Target
-0.11402674,-0.26642433,-0.011544688,-0.36357054,-0.567314,-0.24080558,-0.09115292,-0.32518023,0.002852998,-0.48816785,-0.27918753,-0.26892453,-0.44750097,-0.0100121405,-0.22080944,-0.23961006,0.42727914,-0.27777502,-0.23870888,-0.27198094,0.001381179,-0.059786752,-0.46037468,-0.69075996,-0.08756452,1.5779718,0.32826504,-0.48244593,-0.011544688,-0.2680182,-0.29636526,-0.12563416,-0.1999934,-0.63098705,-0.32518023,-0.008960576,-0.15108922,-0.7625252,-0.11972603,-0.35986084,-0.17073558,-0.37266245,-0.12692428,-0.05987461,-0.5851636,0.001381179,-0.0100121405,-0.567314,-0.30863944,2.7613368,-0.054867744,-0.20464881,-0.34855953,-0.22982351,-0.24080558,-0.19365293,-0.4390752,-0.58990675,-0.113045745,0.0017818591,-0.0074664764,-0.0074665425,-0.29123715,0
-0.051005617,-0.09040289,-0.10892398,-0.19780841,-0.2557658,-0.11459484,-0.06471987,-0.32140282,0.15358254,-0.21079029,-0.11486173,0.1088931,-0.25529513,-0.09365574,0.16338272,-0.35024142,-0.4270544,-0.10631858,-0.18056217,-0.16457072,-0.12736353,-0.085898496,-0.25761122,-0.13594796,-0.08986959,-0.3553553,-0.28216413,-0.3208158,-0.10892398,0.1528802,-0.046011828,-0.21536222,-0.1781401,-0.30829233,-0.32140282,-0.092894696,-0.07151035,-0.14081249,-0.0712431,-0.14081249,-0.27265412,-0.21798679,-0.02735779,-0.085898496,-0.3051496,-0.12736353,-0.09365574,-0.2557658,-0.062096488,-0.32082808,-0.020185737,0.144483,-0.25448662,0.5213769,-0.11459484,-0.25560227,0.36166185,0.3553553,-0.28235328,-0.1044127,-0.23142596,-0.23142596,-0.33264762,1
-0.11402674,-0.26642433,-0.011544688,-0.36357054,-0.5461615,-0.24080558,-0.09115292,-0.2958152,0.002843091,-0.4807871,-0.27918753,-0.26892453,-0.44750097,-0.0100121405,-0.22080798,-0.23961006,0.42727914,-0.27777502,-0.23870888,-0.27198094,0.0013806685,-0.059222747,-0.45479038,-0.60901415,-0.08756452,1.5779718,0.2777521,-0.48244593,-0.011544688,-0.2680182,-0.29636526,-0.12563416,-0.1999934,-0.58525616,-0.2958152,-0.008960576,-0.15108922,-0.53644896,-0.11972603,-0.26519027,-0.1790064,-0.37266225,-0.12692428,-0.059309766,-0.55306244,0.0013806685,-0.0100121405,-0.5461615,-0.30863902,2.7613368,-0.054865513,-0.20464881,-0.34855953,-0.2304674,-0.24080558,-0.19365293,-0.43887419,-0.58990675,-0.12908769,0.0017744572,-0.007464101,-0.0074641677,-0.2836581,0
-0.11402674,-0.26642433,-0.010349748,-0.36357045,-0.567314,-0.24080558,-0.09115292,-0.2958152,0.002843091,-0.48816785,-0.27918753,-0.26892453,-0.44750097,-0.010910271,-0.22082159,-0.23961006,-1.0025811,-0.27777502,-0.23870888,-0.27198094,0.0013815194,-0.058658745,-0.45479038,-0.69075996,-0.08756452,-0.6337249,-0.16844583,-0.48244593,-0.010349748,-0.2680182,-0.29636505,-0.12563416,-0.1999934,-0.58525616,-0.2958152,-0.0075530265,-0.15108922,-0.53644896,-0.11972603,-0.26519027,2.6215868,-0.3726641,-0.12692395,-0.058744922,-0.55306244,0.0013815194,-0.010910271,-0.567314,-0.3086429,-0.3621434,-0.05488633,-0.20464848,-0.34855953,-0.25793955,-0.24080558,-0.19365293,-0.46185884,-0.58990675,2.5160491,0.0017621208,-0.0074664764,-0.0074665425,-0.2836581,0
-0.11402674,-0.26642433,-0.010349748,-0.3635705,-0.30290753,-0.24080558,-0.09115292,-0.17835498,0.002852998,-0.39590836,-0.27918753,-0.26397556,-0.44750097,-0.00911401,-0.21674418,-0.23961006,0.42727914,-0.27777502,-0.23870888,-0.2719774,0.0013825406,-0.054146715,-0.39057094,0.33106205,-0.08756452,-0.6337249,-0.16740102,-0.4020636,-0.010349748,-0.2680182,-0.29636517,-0.12562868,-0.19894513,-0.32611468,-0.17835498,-0.0075530265,-0.15108922,0.36785597,-0.11972603,0.113492,-0.25189427,-0.37099186,-0.12692417,-0.05422617,-0.3283544,0.0013825406,-0.00911401,-0.30290753,-0.3051727,-0.3621434,-0.054887075,-0.20464869,-0.34855786,-0.25793955,-0.24080558,-0.1936476,-0.46192583,-0.58990675,-0.27045962,0.0018114665,-0.0074071023,-0.0074071693,-0.25334182,0
-0.051005617,-0.09040289,-0.10892398,-0.17916745,-0.2557658,-0.11459484,-0.06471987,-0.32140282,0.15358254,-0.21079029,-0.11486173,0.19354598,-0.25529513,-0.09365574,0.25276238,-0.35024142,-0.4270544,-0.10631858,-0.18056217,-0.16457072,-0.12736353,-0.085898496,-0.25761122,-0.13594796,-0.08986959,-0.3553553,-0.28216556,-0.3208158,-0.10892398,0.24784462,-0.008222636,-0.21536222,-0.1781401,-0.30829233,-0.32140282,-0.092894696,-0.07151035,-0.14081249,-0.0712431,-0.14081249,-0.27265817,-0.1996564,-0.027278705,-0.085898496,-0.3051496,-0.12736353,-0.09365574,-0.2557658,-0.025195481,-0.32082808,-0.023283815,0.21854198,-0.25448662,0.5213769,-0.11459484,-0.25560227,0.36166185,0.3553553,-0.2823561,-0.1044127,-0.23142596,-0.23142596,-0.33264762,1
-0.11402674,-0.26642433,-0.011544688,-0.36357054,-0.14073822,-0.24080558,-0.09115292,-0.021741362,0.002852998,-0.3393225,-0.27918753,-0.26892453,-0.44750097,-0.0100121405,-0.22070384,-0.23961006,0.42727914,-0.27777502,-0.23870888,-0.27198094,0.001381179,-0.053958714,-0.347758,0.9577795,-0.08756452,-0.6337249,-0.114499755,-0.37135494,-0.011544688,-0.2680182,-0.29636526,-0.12563416,-0.1979912,-0.008539332,-0.021741362,-0.008960576,-0.15108922,1.5735959,-0.11972603,0.6184017,-0.2432324,-0.372648,-0.12692428,-0.054037888,-0.14823128,0.001381179,-0.0100121405,-0.14073822,-0.30860946,-0.3621434,-0.054706033,-0.20464881,-0.34855953,-0.25793955,-0.24080558,-0.19365293,-0.46192583,-0.58990675,-0.25365922,0.0017818591,-0.0074185813,-0.0074186483,-0.21292011,0
-0.11402674,-0.26642433,-0.010349748,-0.36357045,-0.567314,4.1527276,-0.09115292,-0.23463799,0.002843091,-0.48816785,-0.27918753,-0.26892453,-0.44750097,-0.010910271,-0.22082159,-0.18283994,-1.0025811,-0.27777502,-0.23870888,-0.27198094,0.0013815194,-0.056308728,-0.43152246,-0.69075996,-0.08756452,1.5779718,-0.16844583,-0.43537349,-0.010349748,-0.2680182,-0.29636505,-0.12563416,-0.19963391,-0.45822605,-0.23463799,-0.0075530265,-0.15108922,-0.53644896,-0.11972603,-0.26519027,2.6215868,-0.3726641,-0.12692395,-0.056391407,-0.4638926,0.0013815194,-0.010910271,-0.567314,-0.3086429,-0.3621434,-0.05488633,-0.20464848,-0.34855953,-0.25793955,4.1527276,-0.19365293,-0.4528794,-0.58990675,2.5160491,0.0017621208,-0.0074664764,-0.0074665425,-0.25207862,0
-0.017338077,0.48935097,0.012354099,3.4693766,0.3236379,-0.24080558,-0.02528773,0.0062253615,0.002852998,1.2561519,0.42922938,0.5102636,1.3278718,0.0052560745,0.51667935,0.4944043,-1.0025811,0.4631761,0.94830155,0.46059585,0.0014087501,0.07388209,0.85938114,-0.69075996,-0.08386275,-0.6337249,-0.16844171,0.7380546,0.012354099,0.7944665,0.39579225,-0.12562464,0.041676227,0.14695862,0.0062253615,-0.003330379,0.0050136275,-0.7625252,-0.043228664,-0.35986084,-0.25206456,3.458124,-0.12692383,0.073993415,0.21348625,0.0014087501,0.0052560745,0.3236379,0.38070208,-0.3621434,-0.05488596,0.4164386,3.455214,-0.21812637,-0.24080558,0.51299393,1.4948523,1.695183,-0.27079004,0.002122345,-0.005665864,-0.005665954,1.0199419,0
-0.11402674,-0.26642433,-0.010349748,-0.36328587,-0.567314,-0.24080558,-0.09115292,-0.2958152,0.002843091,-0.48816785,-0.27918753,-0.26892453,-0.44750097,-0.010910271,-0.21874873,-0.23961006,-1.0025811,-0.27777502,-0.23870888,-0.27198094,0.0013815194,-0.058658745,-0.45479038,-0.69075996,-0.08756452,1.5779718,-0.16844583,-0.48244593,-0.010349748,-0.2680182,-0.29577994,-0.12563416,-0.1999934,-0.58525616,-0.2958152,-0.0075530265,-0.15108922,-0.53644896,-0.11972603,-0.26519027,-0.251056,-0.37238076,-0.12597409,-0.058744922,-0.55306244,0.0013815194,-0.010910271,-0.567314,-0.30805433,-0.3621434,-0.05171236,-0.20372972,-0.34855953,-0.25793955,-0.24080558,-0.19365293,-0.44483814,-0.58990675,-0.26981258,0.0017621208,-0.0074664764,-0.0074665425,-0.2836581,0
-0.11402674,0.53635263,0.017133856,-0.0036068459,-0.14038567,-0.24080558,0.2889205,1.1446387,0.002843091,-0.16710475,0.4717344,0.003845117,-0.05955129,0.007052335,-0.16102861,2.0385075,-1.0025811,0.50763315,0.35843572,0.5113685,0.0014021125,0.6459697,2.3997169,-0.69075996,-0.08756452,-0.6337249,-0.16839723,1.2500087,0.017133856,0.19680151,0.43005747,-0.12563406,0.28694028,0.49026573,1.1446387,0.023413057,0.046443485,-0.7625252,0.21270639,-0.35986084,-0.2520554,-0.013039382,-0.12692417,0.6469335,0.56978,0.0014021125,0.007052335,-0.14038567,0.42206278,-0.3621434,-0.054887075,-0.15606037,0.02153736,-0.037733067,-0.24080558,-0.13172916,0.087092444,1.695183,-0.27077407,0.0020236534,-0.006507786,-0.006507865,3.5905097,0
-0.11402674,-0.26642433,-0.010349748,-0.36357045,0.024956502,-0.24080558,-0.09115292,-0.12941323,0.002852998,-0.28150654,-0.27918753,-0.26228642,-0.44750097,-0.00911401,-0.21535978,-0.23961006,0.42727914,-0.27777502,-0.23870888,-0.2719808,0.0013825406,-0.052266702,-0.30401433,1.5981213,-0.08756452,-0.6337249,-0.1676658,-0.2538029,-0.010349748,-0.2680182,-0.29636505,-0.12563394,-0.1915121,-0.05172958,-0.12941323,-0.0075530265,-0.15108922,0.7446497,-0.11972603,0.27127627,-0.25193763,-0.37042415,-0.12692395,-0.052343357,-0.09722612,0.0013825406,-0.00911401,0.024956502,-0.30399036,-0.3621434,-0.054886702,-0.20464848,-0.34855947,-0.25793955,-0.24080558,-0.1936527,-0.46192583,-0.58990675,-0.27054372,0.0018015974,-0.007333479,-0.007333547,-0.24071003,0
